,Player,Game,Pts*,XPA,XPM,FGA,FGM,50+,Week,Position,Year,Target
3,Ryan Succop,TB@CHI,13.0,1,1,4,4,0,5,K,2020,10.0
4,Greg Zuerlein,NYG@DAL,13.0,4,4,3,3,0,5,K,2020,4.0
5,Ka'imi Fairbairn,JAX@HOU,12.0,3,3,3,3,0,5,K,2020,6.0
6,Younghoe Koo,CAR@ATL,12.0,1,1,3,3,1,5,K,2020,18.0
7,Cody Parkey,IND@CLE,12.0,3,3,3,3,0,5,K,2020,1.0
8,Rodrigo Blankenship,IND@CLE,11.0,2,2,3,3,0,5,K,2020,7.0
9,Joey Slye,CAR@ATL,11.0,2,2,3,3,0,5,K,2020,10.0
10,Dan Bailey,MIN@SEA,10.0,2,2,2,2,1,5,K,2020,1.0
11,Daniel Carlson,LV@KC,10.0,5,4,2,2,0,5,K,2020,8.0
12,Justin Tucker,CIN@BAL,9.0,3,3,3,2,0,5,K,2020,14.0
13,Chris Boswell,PHI@PIT,8.0,5,5,1,1,0,5,K,2020,8.0
14,Cairo Santos,TB@CHI,8.0,2,2,2,2,0,5,K,2020,13.0
15,Harrison Butker,LV@KC,6.0,3,3,1,1,0,5,K,2020,8.0
16,Zane Gonzalez,ARI@NYJ,6.0,3,3,1,1,0,5,K,2020,8.0
17,Stephen Gostkowski,BUF@TEN,6.0,6,6,0,0,0,5,K,2020,4.0
18,Samuel Sloman,LA@WAS,6.0,4,3,1,1,0,5,K,2020,4.0
19,Robbie Gould,MIA@SF,5.0,2,2,1,1,0,5,K,2020,6.0
20,Tyler Bass,BUF@TEN,4.0,1,1,1,1,0,5,K,2020,5.0
21,Sam Ficken,ARI@NYJ,4.0,1,1,1,1,0,5,K,2020,0.0
22,Dustin Hopkins,LA@WAS,4.0,1,1,1,1,0,5,K,2020,7.0
23,Michael Badgley,LAC@NO,3.0,4,3,1,0,0,5,K,2020,9.0
24,Randy Bullock,CIN@BAL,3.0,0,0,1,1,0,5,K,2020,11.0
25,Jake Elliott,PHI@PIT,3.0,3,3,1,0,0,5,K,2020,0.0
26,Jason Myers,MIN@SEA,3.0,3,3,0,0,0,5,K,2020,10.0
27,Stephen Hauschka,JAX@HOU,2.0,2,2,2,0,0,5,K,2020,
0,Brandon McManus,DEN@NE,22.0,0,0,6,6,2,6,K,2020,4.0
1,Younghoe Koo,ATL@MIN,18.0,4,4,4,4,1,6,K,2020,2.0
2,Justin Tucker,BAL@PHI,14.0,3,3,3,3,1,6,K,2020,8.0
3,Cairo Santos,CHI@CAR,13.0,2,2,3,3,1,6,K,2020,4.0
4,Randy Bullock,CIN@IND,11.0,3,3,3,2,1,6,K,2020,10.0
5,Matt Prater,DET@JAX,10.0,4,4,3,2,0,6,K,2020,15.0
6,Joey Slye,CHI@CAR,10.0,1,1,4,3,0,6,K,2020,6.0
7,Ryan Succop,GB@TB,10.0,5,5,1,1,1,6,K,2020,9.0
8,Chris Boswell,CLE@PIT,8.0,5,5,1,1,0,6,K,2020,9.0
9,Harrison Butker,KC@BUF,8.0,3,2,2,2,0,6,K,2020,13.0
10,Graham Gano,WAS@NYG,8.0,2,2,2,2,0,6,K,2020,3.0
11,Zane Gonzalez,ARI@DAL,8.0,5,5,1,1,0,6,K,2020,13.0
12,Rodrigo Blankenship,CIN@IND,7.0,4,4,1,1,0,6,K,2020,3.0
13,Dustin Hopkins,WAS@NYG,7.0,1,1,3,2,0,6,K,2020,5.0
14,Ka'imi Fairbairn,HOU@TEN,6.0,4,3,1,1,0,6,K,2020,8.0
15,Nick Folk,DEN@NE,6.0,0,0,2,2,0,6,K,2020,6.0
16,Robbie Gould,LA@SF,6.0,3,3,1,1,0,6,K,2020,9.0
17,Jason Sanders,NYJ@MIA,6.0,3,3,1,1,0,6,K,2020,4.0
18,Tyler Bass,KC@BUF,5.0,2,2,2,1,0,6,K,2020,20.0
19,Jonathan Brown,DET@JAX,4.0,1,1,2,1,0,6,K,2020,
20,Mason Crosby,GB@TB,4.0,1,1,1,1,0,6,K,2020,5.0
21,Stephen Gostkowski,HOU@TEN,4.0,4,4,2,0,0,6,K,2020,8.0
22,Samuel Sloman,LA@SF,4.0,2,1,1,1,0,6,K,2020,6.0
23,Greg Zuerlein,ARI@DAL,4.0,1,1,2,1,0,6,K,2020,3.0
24,Dan Bailey,ATL@MIN,1.0,1,1,0,0,0,6,K,2020,4.0
25,Cody Parkey,CLE@PIT,1.0,1,1,0,0,0,6,K,2020,7.0
26,Jake Elliott,BAL@PHI,0.0,0,0,1,0,0,6,K,2020,4.0
27,Sam Ficken,NYJ@MIA,0.0,0,0,1,0,0,6,K,2020,2.0
0,Tyler Bass,BUF@NYJ,20.0,0,0,8,6,1,7,K,2020,6.0
1,Matt Prater,DET@ATL,15.0,2,2,4,3,2,7,K,2020,3.0
2,Harrison Butker,KC@DEN,13.0,5,4,3,3,0,7,K,2020,5.0
3,Zane Gonzalez,SEA@ARI,13.0,4,4,4,3,0,7,K,2020,7.0
4,Randy Bullock,CLE@CIN,10.0,4,4,2,2,0,7,K,2020,7.0
5,Jason Myers,SEA@ARI,10.0,4,4,2,2,0,7,K,2020,7.0
6,Michael Badgley,JAX@LAC,9.0,4,3,3,2,0,7,K,2020,14.0
7,Chris Boswell,PIT@TEN,9.0,3,3,2,2,0,7,K,2020,4.0
8,Robbie Gould,SF@NE,9.0,4,3,2,2,0,7,K,2020,3.0
9,Wil Lutz,CAR@NO,9.0,3,3,2,2,0,7,K,2020,14.0
10,Ryan Succop,TB@LV,9.0,6,6,1,1,0,7,K,2020,13.0
11,Daniel Carlson,TB@LV,8.0,2,2,2,2,0,7,K,2020,10.0
12,Ka'imi Fairbairn,GB@HOU,8.0,2,2,3,2,0,7,K,2020,11.0
13,Stephen Gostkowski,PIT@TEN,8.0,3,3,2,1,1,7,K,2020,2.0
14,Cody Parkey,CLE@CIN,7.0,5,4,1,1,0,7,K,2020,6.0
15,Nick Folk,SF@NE,6.0,0,0,2,2,0,7,K,2020,7.0
16,Samuel Sloman,CHI@LA,6.0,3,3,2,1,0,7,K,2020,11.0
17,Joey Slye,CAR@NO,6.0,3,3,2,1,0,7,K,2020,5.0
18,Mason Crosby,GB@HOU,5.0,5,5,0,0,0,7,K,2020,2.0
19,Dustin Hopkins,DAL@WAS,5.0,2,2,2,1,0,7,K,2020,8.0
20,Sergio Castillo,BUF@NYJ,4.0,1,1,1,1,0,7,K,2020,11.0
21,Jake Elliott,NYG@PHI,4.0,1,1,2,1,0,7,K,2020,1.0
22,Brandon McManus,KC@DEN,4.0,2,1,1,1,0,7,K,2020,7.0
23,Cairo Santos,CHI@LA,4.0,1,1,1,1,0,7,K,2020,13.0
24,Graham Gano,NYG@PHI,3.0,3,3,0,0,0,7,K,2020,5.0
25,Greg Zuerlein,DAL@WAS,3.0,0,0,1,1,0,7,K,2020,11.0
26,Younghoe Koo,DET@ATL,2.0,2,2,0,0,0,7,K,2020,13.0
27,Josh Lambo,JAX@LAC,1.0,1,1,0,0,0,7,K,2020,9.0
0,Michael Badgley,LAC@DEN,14.0,3,3,3,3,1,8,K,2020,8.0
1,Wil Lutz,NO@CHI,14.0,2,2,5,4,0,8,K,2020,8.0
2,Younghoe Koo,ATL@CAR,13.0,2,1,4,4,0,8,K,2020,12.0
3,Cairo Santos,NO@CHI,13.0,2,2,3,3,1,8,K,2020,5.0
4,Ryan Succop,TB@NYG,13.0,1,1,4,4,0,8,K,2020,3.0
5,Sergio Castillo,NYJ@KC,11.0,0,0,4,3,1,8,K,2020,11.0
6,Greg Zuerlein,DAL@PHI,11.0,0,0,4,3,1,8,K,2020,13.0
7,Daniel Carlson,LV@CLE,10.0,1,1,4,3,0,8,K,2020,7.0
8,Justin Tucker,PIT@BAL,8.0,3,3,1,1,1,8,K,2020,6.0
9,Randy Bullock,TEN@CIN,7.0,4,4,1,1,0,8,K,2020,4.0
10,Nick Folk,NE@BUF,7.0,1,1,2,2,0,8,K,2020,14.0
11,Brandon McManus,LAC@DEN,7.0,4,4,1,1,0,8,K,2020,9.0
12,Jason Myers,SF@SEA,7.0,5,4,1,1,0,8,K,2020,10.0
13,Tyler Bass,NE@BUF,6.0,3,3,1,1,0,8,K,2020,14.0
14,Cody Parkey,LV@CLE,6.0,0,0,3,2,0,8,K,2020,4.0
15,Harrison Butker,NYJ@KC,5.0,5,5,0,0,0,8,K,2020,11.0
16,Kai Forbath,LA@MIA,5.0,2,2,2,1,0,8,K,2020,5.0
17,Graham Gano,TB@NYG,5.0,2,2,1,1,0,8,K,2020,11.0
18,Joey Slye,ATL@CAR,5.0,2,2,1,1,0,8,K,2020,7.0
19,Dan Bailey,MIN@GB,4.0,4,4,0,0,0,8,K,2020,4.0
20,Chris Boswell,PIT@BAL,4.0,4,4,0,0,0,8,K,2020,8.0
21,Jason Sanders,LA@MIA,4.0,4,4,0,0,0,8,K,2020,14.0
22,Rodrigo Blankenship,IND@DET,3.0,5,3,0,0,0,8,K,2020,4.0
23,Robbie Gould,SF@SEA,3.0,3,3,0,0,0,8,K,2020,5.0
24,Matt Prater,IND@DET,3.0,3,3,1,0,0,8,K,2020,8.0
25,Mason Crosby,MIN@GB,2.0,2,2,0,0,0,8,K,2020,12.0
26,Stephen Gostkowski,TEN@CIN,2.0,2,2,1,0,0,8,K,2020,6.0
27,Jake Elliott,DAL@PHI,1.0,1,1,0,0,0,8,K,2020,3.0
0,Tyler Bass,SEA@BUF,14.0,5,5,4,3,0,9,K,2020,18.0
1,Nick Folk,NE@NYJ,14.0,3,3,3,3,1,9,K,2020,5.0
2,Jason Sanders,MIA@ARI,14.0,4,4,2,2,2,9,K,2020,13.0
3,Greg Zuerlein,PIT@DAL,13.0,1,1,4,4,0,9,K,2020,5.0
4,Mason Crosby,GB@SF,12.0,4,4,2,2,1,9,K,2020,6.0
5,Younghoe Koo,DEN@ATL,12.0,4,4,2,2,1,9,K,2020,13.0
6,Harrison Butker,CAR@KC,11.0,4,3,3,2,1,9,K,2020,5.0
7,Sergio Castillo,NE@NYJ,11.0,3,3,2,2,1,9,K,2020,3.0
8,Ka'imi Fairbairn,HOU@JAX,11.0,3,3,2,2,1,9,K,2020,1.0
9,Graham Gano,NYG@WAS,11.0,2,2,3,3,0,9,K,2020,9.0
10,Jason Myers,SEA@BUF,10.0,4,4,2,2,0,9,K,2020,12.0
11,Josh Lambo,HOU@JAX,9.0,2,1,2,2,1,9,K,2020,3.0
12,Brandon McManus,DEN@ATL,9.0,3,3,2,2,0,9,K,2020,8.0
13,Michael Badgley,LV@LAC,8.0,2,2,3,2,0,9,K,2020,3.0
14,Chris Boswell,PIT@DAL,8.0,2,0,2,2,1,9,K,2020,12.0
15,Dustin Hopkins,NYG@WAS,8.0,2,2,2,2,0,9,K,2020,9.0
16,Wil Lutz,NO@TB,8.0,5,5,1,1,0,9,K,2020,9.0
17,Matt Prater,DET@MIN,8.0,2,2,3,2,0,9,K,2020,16.0
18,Daniel Carlson,LV@LAC,7.0,4,4,1,1,0,9,K,2020,15.0
19,Zane Gonzalez,MIA@ARI,7.0,4,4,2,1,0,9,K,2020,14.0
20,Joey Slye,CAR@KC,7.0,4,4,3,1,0,9,K,2020,5.0
21,Stephen Gostkowski,CHI@TEN,6.0,3,3,1,1,0,9,K,2020,7.0
22,Justin Tucker,BAL@IND,6.0,3,3,1,1,0,9,K,2020,5.0
23,Robbie Gould,GB@SF,5.0,2,2,1,1,0,9,K,2020,7.0
24,Cairo Santos,CHI@TEN,5.0,2,2,1,1,0,9,K,2020,7.0
25,Dan Bailey,DET@MIN,4.0,5,4,0,0,0,9,K,2020,7.0
26,Rodrigo Blankenship,BAL@IND,4.0,1,1,1,1,0,9,K,2020,10.0
27,Ryan Succop,NO@TB,3.0,0,0,1,1,0,9,K,2020,16.0
0,Tyler Bass,BUF@ARI,18.0,3,3,3,3,3,10,K,2020,9.0
1,Matt Prater,WAS@DET,16.0,3,3,3,3,2,10,K,2020,0.0
2,Ryan Succop,TB@CAR,16.0,5,4,4,4,0,10,K,2020,6.0
3,Daniel Carlson,DEN@LV,15.0,4,4,3,3,1,10,K,2020,7.0
4,Zane Gonzalez,BUF@ARI,14.0,2,2,4,4,0,10,K,2020,3.0
5,Jason Sanders,LAC@MIA,13.0,2,2,4,3,1,10,K,2020,9.0
6,Chris Boswell,CIN@PIT,12.0,3,3,3,3,0,10,K,2020,9.0
7,Jason Myers,SEA@LA,12.0,1,1,3,3,1,10,K,2020,8.0
8,Rodrigo Blankenship,IND@TEN,10.0,4,4,2,2,0,10,K,2020,14.0
9,Chase McLaughlin,JAX@GB,10.0,2,2,2,2,1,10,K,2020,3.0
10,Graham Gano,PHI@NYG,9.0,3,3,2,2,0,10,K,2020,13.0
11,Dustin Hopkins,WAS@DET,9.0,3,3,3,2,0,10,K,2020,10.0
12,Wil Lutz,SF@NO,9.0,3,3,2,2,0,10,K,2020,6.0
13,Brandon McManus,DEN@LV,8.0,0,0,2,2,1,10,K,2020,8.0
14,Dan Bailey,MIN@CHI,7.0,1,1,2,2,0,10,K,2020,4.0
15,Stephen Gostkowski,IND@TEN,7.0,2,2,2,1,1,10,K,2020,10.0
16,Robbie Gould,SF@NO,7.0,1,1,2,2,0,10,K,2020,11.0
17,Cairo Santos,MIN@CHI,7.0,1,1,2,2,0,10,K,2020,5.0
18,Mason Crosby,JAX@GB,6.0,3,3,1,1,0,10,K,2020,7.0
19,Nick Folk,BAL@NE,5.0,3,2,1,1,0,10,K,2020,8.0
20,Kai Forbath,SEA@LA,5.0,3,2,1,1,0,10,K,2020,
21,Joey Slye,TB@CAR,5.0,2,2,1,1,0,10,K,2020,10.0
22,Justin Tucker,BAL@NE,5.0,2,2,1,1,0,10,K,2020,10.0
23,Randy Bullock,CIN@PIT,4.0,1,1,1,1,0,10,K,2020,5.0
24,Cody Parkey,HOU@CLE,4.0,1,1,1,1,0,10,K,2020,8.0
25,Michael Badgley,LAC@MIA,3.0,3,3,0,0,0,10,K,2020,10.0
26,Jake Elliott,PHI@NYG,3.0,0,0,1,1,0,10,K,2020,5.0
27,Ka'imi Fairbairn,HOU@CLE,1.0,1,1,1,0,0,10,K,2020,9.0
0,Rodrigo Blankenship,GB@IND,14.0,2,2,5,4,0,11,K,2020,2.0
1,Younghoe Koo,ATL@NO,13.0,0,0,3,3,2,11,K,2020,21.0
2,Michael Badgley,NYJ@LAC,10.0,4,4,2,2,0,11,K,2020,3.0
3,Stephen Gostkowski,TEN@BAL,10.0,1,1,3,3,0,11,K,2020,9.0
4,Dustin Hopkins,CIN@WAS,10.0,2,2,3,2,1,11,K,2020,11.0
5,Joey Slye,DET@CAR,10.0,2,2,2,2,1,11,K,2020,9.0
6,Justin Tucker,TEN@BAL,10.0,1,1,3,3,0,11,K,2020,2.0
7,Chris Boswell,PIT@JAX,9.0,3,3,3,2,0,11,K,2020,7.0
8,Ka'imi Fairbairn,NE@HOU,9.0,3,3,2,2,0,11,K,2020,9.0
9,Matt Gay,LA@TB,9.0,3,3,3,2,0,11,K,2020,8.0
10,Jason Sanders,MIA@DEN,9.0,1,1,2,2,1,11,K,2020,12.0
11,Nick Folk,NE@HOU,8.0,2,2,2,2,0,11,K,2020,10.0
12,Brandon McManus,MIA@DEN,8.0,2,2,2,2,0,11,K,2020,5.0
13,Jason Myers,ARI@SEA,8.0,3,2,2,2,0,11,K,2020,11.0
14,Cody Parkey,PHI@CLE,8.0,2,2,3,2,0,11,K,2020,9.0
15,Daniel Carlson,KC@LV,7.0,4,4,1,1,0,11,K,2020,6.0
16,Mason Crosby,GB@IND,7.0,4,4,1,1,0,11,K,2020,5.0
17,Wil Lutz,ATL@NO,6.0,3,3,2,1,0,11,K,2020,7.0
18,Ryan Succop,LA@TB,6.0,3,3,1,1,0,11,K,2020,6.0
19,Randy Bullock,CIN@WAS,5.0,1,0,3,1,1,11,K,2020,5.0
20,Harrison Butker,KC@LV,5.0,5,5,0,0,0,11,K,2020,9.0
21,Jake Elliott,PHI@CLE,5.0,2,2,1,1,0,11,K,2020,3.0
22,Greg Zuerlein,DAL@MIN,5.0,3,2,1,1,0,11,K,2020,10.0
23,Dan Bailey,DAL@MIN,4.0,4,4,0,0,0,11,K,2020,10.0
24,Zane Gonzalez,ARI@SEA,3.0,3,3,0,0,0,11,K,2020,5.0
25,Chase McLaughlin,PIT@JAX,3.0,0,0,1,1,0,11,K,2020,4.0
26,Sam Ficken,NYJ@LAC,2.0,4,2,0,0,0,11,K,2020,11.0
27,Matt Prater,DET@CAR,0.0,0,0,1,0,0,11,K,2020,5.0
0,Younghoe Koo,LV@ATL,21.0,4,4,5,5,1,12,K,2020,12.0
1,Graham Gano,NYG@CIN,13.0,1,1,4,4,0,12,K,2020,3.0
2,Jason Sanders,MIA@NYJ,12.0,2,2,2,2,2,12,K,2020,13.0
3,Robbie Gould,SF@LA,11.0,2,2,4,3,0,12,K,2020,6.0
4,Dustin Hopkins,WAS@DAL,11.0,5,5,2,2,0,12,K,2020,11.0
5,Jason Myers,SEA@PHI,11.0,2,2,3,3,0,12,K,2020,4.0
6,Dan Bailey,CAR@MIN,10.0,2,2,2,2,1,12,K,2020,7.0
7,Nick Folk,ARI@NE,10.0,2,2,2,2,1,12,K,2020,9.0
8,Greg Zuerlein,WAS@DAL,10.0,1,1,3,3,0,12,K,2020,5.0
9,Tyler Bass,LAC@BUF,9.0,3,3,2,2,0,12,K,2020,10.0
10,Harrison Butker,KC@TB,9.0,3,3,2,2,0,12,K,2020,16.0
11,Ka'imi Fairbairn,HOU@DET,9.0,4,3,2,2,0,12,K,2020,10.0
12,Stephen Gostkowski,TEN@IND,9.0,6,6,1,1,0,12,K,2020,3.0
13,Cody Parkey,CLE@JAX,9.0,3,3,2,2,0,12,K,2020,11.0
14,Aldrick Rosas,CLE@JAX,9.0,1,1,3,2,1,12,K,2020,6.0
15,Joey Slye,CAR@MIN,9.0,3,3,4,2,0,12,K,2020,9.0
16,Matt Gay,SF@LA,8.0,2,2,2,2,0,12,K,2020,8.0
17,Chris Boswell,BAL@PIT,7.0,2,1,2,2,0,12,K,2020,1.0
18,Wil Lutz,NO@DEN,7.0,4,4,1,1,0,12,K,2020,3.0
19,Daniel Carlson,LV@ATL,6.0,0,0,2,2,0,12,K,2020,7.0
20,Ryan Succop,KC@TB,6.0,3,3,1,1,0,12,K,2020,8.0
21,Randy Bullock,NYG@CIN,5.0,2,2,1,1,0,12,K,2020,1.0
22,Mason Crosby,CHI@GB,5.0,6,5,0,0,0,12,K,2020,6.0
23,Zane Gonzalez,ARI@NE,5.0,2,2,2,1,0,12,K,2020,4.0
24,Brandon McManus,NO@DEN,5.0,0,0,1,1,1,12,K,2020,6.0
25,Matt Prater,HOU@DET,5.0,2,2,1,1,0,12,K,2020,4.0
26,Cairo Santos,CHI@GB,5.0,2,2,1,1,0,12,K,2020,6.0
27,Michael Badgley,LAC@BUF,3.0,1,0,1,1,0,12,K,2020,0.0
28,Sergio Castillo,MIA@NYJ,3.0,0,0,2,1,0,12,K,2020,2.0
29,Jake Elliott,SEA@PHI,3.0,1,0,1,1,0,12,K,2020,6.0
30,Rodrigo Blankenship,TEN@IND,2.0,2,2,0,0,0,12,K,2020,6.0
31,Justin Tucker,BAL@PIT,2.0,2,2,0,0,0,12,K,2020,10.0
0,Harrison Butker,DEN@KC,16.0,1,1,5,5,0,13,K,2020,7.0
1,Jason Sanders,CIN@MIA,13.0,1,1,4,4,0,13,K,2020,9.0
2,Younghoe Koo,NO@ATL,12.0,1,1,3,3,1,13,K,2020,5.0
3,Dustin Hopkins,WAS@PIT,11.0,2,2,3,3,0,13,K,2020,13.0
4,Cody Parkey,CLE@TEN,11.0,5,5,2,2,0,13,K,2020,4.0
5,Tyler Bass,BUF@SF,10.0,4,4,2,2,0,13,K,2020,8.0
6,Ka'imi Fairbairn,IND@HOU,10.0,2,2,3,2,1,13,K,2020,1.0
7,Justin Tucker,DAL@BAL,10.0,4,4,3,2,0,13,K,2020,9.0
8,Nick Folk,NE@LAC,9.0,6,6,1,1,0,13,K,2020,3.0
9,Matt Gay,LA@ARI,8.0,5,5,2,1,0,13,K,2020,6.0
10,Dan Bailey,JAX@MIN,7.0,3,1,3,2,0,13,K,2020,0.0
11,Daniel Carlson,LV@NYJ,7.0,4,4,1,1,0,13,K,2020,9.0
12,Rodrigo Blankenship,IND@HOU,6.0,3,3,1,1,0,13,K,2020,14.0
13,Mason Crosby,PHI@GB,6.0,4,3,1,1,0,13,K,2020,9.0
14,Jake Elliott,PHI@GB,6.0,2,1,1,1,1,13,K,2020,6.0
15,Robbie Gould,BUF@SF,6.0,3,3,1,1,0,13,K,2020,1.0
16,Brandon McManus,DEN@KC,6.0,1,1,2,1,1,13,K,2020,2.0
17,Cairo Santos,DET@CHI,6.0,4,3,1,1,0,13,K,2020,10.0
18,Matthew Wright,WAS@PIT,5.0,2,2,1,1,0,13,K,2020,4.0
19,Greg Zuerlein,DAL@BAL,5.0,2,2,4,1,0,13,K,2020,14.0
20,Zane Gonzalez,LA@ARI,4.0,4,4,1,0,0,13,K,2020,8.0
21,Chase McLaughlin,JAX@MIN,4.0,2,1,2,1,0,13,K,2020,2.0
22,Jason Myers,NYG@SEA,4.0,1,1,1,1,0,13,K,2020,10.0
23,Matt Prater,DET@CHI,4.0,5,4,0,0,0,13,K,2020,6.0
24,Graham Gano,NYG@SEA,3.0,1,0,1,1,0,13,K,2020,1.0
25,Stephen Gostkowski,CLE@TEN,3.0,3,3,0,0,0,13,K,2020,9.0
26,Wil Lutz,NO@ATL,3.0,3,3,1,0,0,13,K,2020,3.0
27,Sergio Castillo,LV@NYJ,2.0,3,2,0,0,0,13,K,2020,3.0
28,Randy Bullock,CIN@MIA,1.0,1,1,1,0,0,13,K,2020,15.0
29,Michael Badgley,NE@LAC,0.0,0,0,2,0,0,13,K,2020,8.0
0,Rodrigo Blankenship,IND@LV,14.0,5,5,3,3,0,14,K,2020,11.0
1,Mike Nugent,ARI@NYG,14.0,2,2,4,4,0,14,K,2020,7.0
2,Greg Zuerlein,DAL@CIN,14.0,3,3,3,3,1,14,K,2020,11.0
3,Dustin Hopkins,WAS@SF,13.0,2,2,4,3,1,14,K,2020,3.0
4,Jason Myers,NYJ@SEA,10.0,5,4,2,2,0,14,K,2020,8.0
5,Cairo Santos,HOU@CHI,10.0,4,4,2,2,0,14,K,2020,15.0
6,Daniel Carlson,IND@LV,9.0,3,3,2,2,0,14,K,2020,9.0
7,Mason Crosby,GB@DET,9.0,4,4,1,1,1,14,K,2020,8.0
8,Stephen Gostkowski,TEN@JAX,9.0,4,4,1,1,1,14,K,2020,8.0
9,Jason Sanders,KC@MIA,9.0,3,3,3,2,0,14,K,2020,2.0
10,Joey Slye,DEN@CAR,9.0,3,3,2,2,0,14,K,2020,10.0
11,Justin Tucker,BAL@CLE,9.0,5,4,1,1,1,14,K,2020,8.0
12,Michael Badgley,ATL@LAC,8.0,2,2,2,2,0,14,K,2020,6.0
13,Tyler Bass,PIT@BUF,8.0,3,2,2,2,0,14,K,2020,12.0
14,Ryan Succop,MIN@TB,8.0,3,2,2,2,0,14,K,2020,7.0
15,Harrison Butker,KC@MIA,7.0,4,4,1,1,0,14,K,2020,6.0
16,Jake Elliott,NO@PHI,6.0,3,3,2,1,0,14,K,2020,2.0
17,Matt Gay,NE@LA,6.0,3,3,1,1,0,14,K,2020,8.0
18,Matt Prater,GB@DET,6.0,3,3,1,1,0,14,K,2020,7.0
19,Aldrick Rosas,TEN@JAX,6.0,1,1,2,1,1,14,K,2020,2.0
20,Younghoe Koo,ATL@LAC,5.0,2,2,1,1,0,14,K,2020,11.0
21,Cody Parkey,BAL@CLE,4.0,5,4,1,0,0,14,K,2020,2.0
22,Sergio Castillo,NYJ@SEA,3.0,0,0,4,1,0,14,K,2020,
23,Nick Folk,NE@LA,3.0,0,0,1,1,0,14,K,2020,12.0
24,Wil Lutz,NO@PHI,3.0,3,3,2,0,0,14,K,2020,3.0
25,Brandon McManus,DEN@CAR,2.0,4,2,0,0,0,14,K,2020,14.0
26,Chris Boswell,PIT@BUF,1.0,1,1,0,0,0,14,K,2020,5.0
27,Ka'imi Fairbairn,HOU@CHI,1.0,1,1,0,0,0,14,K,2020,8.0
28,Graham Gano,ARI@NYG,1.0,1,1,0,0,0,14,K,2020,6.0
29,Robbie Gould,WAS@SF,1.0,1,1,0,0,0,14,K,2020,9.0
30,Austin Seibert,DAL@CIN,1.0,1,1,0,0,0,14,K,2020,9.0
31,Dan Bailey,MIN@TB,0.0,1,0,3,0,0,14,K,2020,9.0
0,Cairo Santos,CHI@MIN,15.0,3,3,4,4,0,15,K,2020,11.0
1,Tyler Bass,BUF@DEN,12.0,6,6,2,2,0,15,K,2020,8.0
2,Nick Folk,NE@MIA,12.0,0,0,4,4,0,15,K,2020,3.0
3,Rodrigo Blankenship,HOU@IND,11.0,3,3,2,2,1,15,K,2020,6.0
4,Sam Ficken,NYJ@LA,11.0,2,2,3,3,0,15,K,2020,5.0
5,Younghoe Koo,TB@ATL,11.0,3,3,2,2,1,15,K,2020,2.0
6,Greg Zuerlein,SF@DAL,11.0,5,5,3,2,0,15,K,2020,13.0
7,Joey Slye,CAR@GB,10.0,1,1,3,3,0,15,K,2020,2.0
8,Dan Bailey,CHI@MIN,9.0,3,3,2,2,0,15,K,2020,3.0
9,Daniel Carlson,LAC@LV,9.0,3,3,2,2,0,15,K,2020,13.0
10,Robbie Gould,SF@DAL,9.0,3,3,2,2,0,15,K,2020,2.0
11,Austin Seibert,PIT@CIN,9.0,3,3,3,2,0,15,K,2020,13.0
12,Mason Crosby,CAR@GB,8.0,3,3,1,1,1,15,K,2020,4.0
13,Ka'imi Fairbairn,HOU@IND,8.0,2,2,2,2,0,15,K,2020,7.0
14,Matt Gay,NYJ@LA,8.0,2,2,2,2,0,15,K,2020,11.0
15,Stephen Gostkowski,DET@TEN,8.0,5,5,1,1,0,15,K,2020,2.0
16,Jason Myers,SEA@WAS,8.0,2,2,2,2,0,15,K,2020,8.0
17,Justin Tucker,JAX@BAL,8.0,5,5,2,1,0,15,K,2020,9.0
18,Mike Nugent,PHI@ARI,7.0,4,4,1,1,0,15,K,2020,6.0
19,Matt Prater,DET@TEN,7.0,3,2,1,1,1,15,K,2020,1.0
20,Ryan Succop,TB@ATL,7.0,4,4,1,1,0,15,K,2020,5.0
21,Michael Badgley,LAC@LV,6.0,3,3,3,1,0,15,K,2020,13.0
22,Harrison Butker,KC@NO,6.0,3,3,1,1,0,15,K,2020,7.0
23,Graham Gano,CLE@NYG,6.0,0,0,2,2,0,15,K,2020,7.0
24,Chris Boswell,PIT@CIN,5.0,2,2,1,1,0,15,K,2020,11.0
25,Dustin Hopkins,SEA@WAS,3.0,1,0,1,1,0,15,K,2020,7.0
26,Wil Lutz,KC@NO,3.0,3,3,0,0,0,15,K,2020,10.0
27,Jake Elliott,PHI@ARI,2.0,2,2,0,0,0,15,K,2020,5.0
28,Cody Parkey,CLE@NYG,2.0,3,2,0,0,0,15,K,2020,4.0
29,Aldrick Rosas,JAX@BAL,2.0,2,2,0,0,0,15,K,2020,5.0
30,Jason Sanders,NE@MIA,2.0,2,2,1,0,0,15,K,2020,14.0
31,Taylor Russolino,BUF@DEN,1.0,3,1,1,0,0,15,K,2020,
0,Brandon McManus,DEN@LAC,14.0,1,1,4,3,2,16,K,2020,11.0
1,Jason Sanders,MIA@LV,14.0,2,2,4,4,0,16,K,2020,8.0
2,Michael Badgley,DEN@LAC,13.0,1,1,4,4,0,16,K,2020,4.0
3,Daniel Carlson,MIA@LV,13.0,2,1,4,4,0,16,K,2020,6.0
4,Austin Seibert,CIN@HOU,13.0,4,4,4,3,0,16,K,2020,3.0
5,Greg Zuerlein,PHI@DAL,13.0,4,4,3,3,0,16,K,2020,15.0
